step,reward,waiting_time,queue_length
0,0,0.0,0.0
1,0,0.0,0.0
2,0,0.0,0.05
3,0,0.0,0.025
4,0,0.0,0.05
5,0,0.0,0.025
6,0,0.0,0.05
7,0,0.0,0.025
8,0,0.0,0.025
9,0,0.0,0.0
10,0,0.0,0.025
11,0,0.0,0.0
12,0,0.0,0.025
13,0,0.0,0.0
14,0,0.0,0.0
15,0,0.0,0.0
16,0,0.0,0.025
17,0,0.0,0.0
18,0,0.0,0.0
19,0,0.0,0.025
20,0,0.0,0.0
21,0,0.0,0.025
22,0,0.0,0.0
23,0,0.025,0.025
24,0,0.0,0.0
25,0,0.0,0.05
26,0,0.0,0.025
27,0,0.0,0.05
28,0,0.025,0.05
29,0,0.0,0.025
30,0,0.0,0.0
31,0,0.0,0.075
32,0,0.0,0.0
33,0,0.0,0.025
34,0,0.0,0.025
35,0,0.0,0.025
36,0,0.0,0.0
37,0,0.0,0.025
38,0,0.0,0.0
39,0,0.0,0.075
40,0,0.0,0.0
41,0,0.0,0.0
42,0,0.0,0.025
43,0,0.0,0.025
44,0,0.0,0.025
45,0,0.0,0.0
46,0,0.0,0.025
47,0,0.0,0.05
48,0,0.0,0.0
49,0,0.0,0.025
50,0,0.0,0.025
51,0,0.0,0.025
52,0,0.0,0.025
53,0,0.0,0.025
54,0,0.0,0.0
55,0,0.0,0.075
56,0,0.0,0.0
57,0,0.0,0.025
58,0,0.0,0.025
59,0,0.0,0.05
60,0,0.0,0.025
61,0,0.0,0.025
62,0,0.0,0.025
63,0,0.0,0.0
64,0,0.0,0.0
65,0,0.0,0.025
66,0,0.0,0.025
67,0,0.0,0.05
68,0,0.0,0.0
69,0,0.0,0.025
70,0,0.0,0.05
71,0,0.0,0.05
72,0,0.0,0.025
73,0,0.025,0.025
74,0,0.0,0.025
75,0,0.0,0.025
76,0,0.0,0.0
77,0,0.0,0.025
78,0,0.0,0.025
79,0,0.0,0.05
80,0,0.0,0.0
81,0,0.0,0.05
82,0,0.0,0.025
83,0,0.0,0.05
84,0,0.0,0.025
85,0,0.0,0.05
86,0,0.0,0.025
87,0,0.0,0.0
88,0,0.0,0.025
89,0,0.0,0.0
90,0,0.0,0.025
91,0,0.0,0.025
92,0,0.0,0.025
93,0,0.0,0.05
94,0,0.0,0.025
95,0,0.0,0.0
96,0,0.0,0.025
97,0,0.0,0.0
98,0,0.0,0.025
99,0,0.0,0.025
100,0,0.0,0.0
101,0,0.0,0.0
102,0,0.0,0.025
103,0,0.0,0.025
104,0,0.0,0.05
105,0,0.0,0.0
106,0,0.0,0.05
107,0,0.0,0.0
108,0,0.0,0.05
109,0,0.0,0.025
110,0,0.0,0.025
111,0,0.0,0.0
112,0,0.0,0.025
113,0,0.0,0.05
114,0,0.0,0.0
115,0,0.0,0.025
116,0,0.0,0.025
117,0,0.0,0.0
118,0,0.0,0.025
119,0,0.0,0.0
120,0,0.0,0.05
121,0,0.0,0.0
122,0,0.0,0.025
123,0,0.0,0.0
124,0,0.0,0.025
125,0,0.0,0.0
126,0,0.0,0.025
127,0,0.0,0.0
128,0,0.0,0.025
129,0,0.0,0.025
130,0,0.0,0.05
131,0,0.0,0.0
132,0,0.0,0.05
133,0,0.0,0.0
134,0,0.0,0.025
135,0,0.0,0.0
136,0,0.0,0.0
137,0,0.0,0.025
138,0,0.0,0.05
139,0,0.0,0.0
140,0,0.0,0.05
141,0,0.0,0.0
142,0,0.0,0.025
143,0,0.0,0.0
144,0,0.0,0.025
145,0,0.0,0.0
146,0,0.0,0.075
147,0,0.0,0.0
148,0,0.0,0.05
149,0,0.0,0.0
150,0,0.0,0.075
151,0,0.0,0.0
152,0,0.0,0.05
153,0,0.0,0.0
154,0,0.0,0.0
155,0,0.0,0.025
156,0,0.0,0.025
157,0,0.0,0.0
158,0,0.0,0.075
159,0,0.0,0.0
160,0,0.0,0.075
161,0,0.0,0.0
162,0,0.0,0.075
163,0,0.0,0.0
164,0,0.0,0.05
165,0,0.0,0.0
166,0,0.0,0.025
167,0,0.0,0.025
168,0,0.0,0.0
169,0,0.0,0.025
170,0,0.025,0.025
171,0,0.0,0.025
172,0,0.0,0.0
173,0,0.0,0.025
174,0,0.0,0.025
175,0,0.0,0.025
176,0,0.0,0.05
177,0,0.0,0.05
178,0,0.0,0.0
179,0,0.0,0.025
180,0,0.0,0.0
181,0,0.0,0.0
182,0,0.0,0.025
183,0,0.0,0.0
184,0,0.0,0.025
185,0,0.0,0.0
186,0,0.0,0.05
187,0,0.0,0.0
188,0,0.0,0.025
189,0,0.0,0.025
190,0,0.0,0.025
191,0,0.0,0.025
192,0,0.0,0.0
193,0,0.0,0.05
194,0,0.0,0.0
195,0,0.0,0.025
196,0,0.0,0.025
197,0,0.0,0.0
198,0,0.0,0.025
199,0,0.0,0.025
200,0,0.0,0.025
201,0,0.0,0.025
202,0,0.0,0.025
203,0,0.0,0.025
204,0,0.0,0.025
205,0,0.0,0.025
206,0,0.0,0.025
207,0,0.0,0.0
208,0,0.0,0.0
209,0,0.0,0.025
210,0,0.0,0.025
211,0,0.0,0.05
212,0,0.0,0.0
213,0,0.025,0.05
214,0,0.0,0.0
215,0,0.0,0.025
216,0,0.0,0.025
217,0,0.0,0.0
218,0,0.0,0.0
219,0,0.0,0.025
220,0,0.0,0.0
221,0,0.0,0.0
222,0,0.0,0.0
223,0,0.0,0.025
224,0,0.0,0.0
225,0,0.0,0.025
226,0,0.0,0.0
227,0,0.0,0.025
228,0,0.0,0.0
229,0,0.0,0.05
230,0,0.0,0.0
231,0,0.0,0.025
232,0,0.0,0.0
233,0,0.0,0.0
234,0,0.0,0.0
235,0,0.0,0.025
236,0,0.0,0.025
237,0,0.0,0.025
238,0,0.0,0.05
239,0,0.0,0.025
240,0,0.0,0.025
241,0,0.0,0.0
242,0,0.0,0.05
243,0,0.0,0.0
244,0,0.0,0.05
245,0,0.0,0.025
246,0,0.0,0.05
247,0,0.0,0.025
248,0,0.0,0.025
249,0,0.0,0.025
250,0,0.0,0.0
251,0,0.0,0.0
252,0,0.0,0.0
253,0,0.0,0.05
254,0,0.0,0.025
255,0,0.0,0.0
256,0,0.0,0.05
257,0,0.0,0.025
258,0,0.0,0.025
259,0,0.0,0.05
260,0,0.0,0.0
261,0,0.0,0.0
262,0,0.0,0.0
263,0,0.0,0.05
264,0,0.0,0.025
265,0,0.0,0.025
266,0,0.0,0.0
267,0,0.0,0.0
268,0,0.0,0.025
269,0,0.0,0.05
270,0,0.0,0.0
271,0,0.0,0.0
272,0,0.0,0.025
273,0,0.0,0.025
274,0,0.0,0.0
275,0,0.0,0.0
276,0,0.0,0.0
277,0,0.0,0.05
278,0,0.0,0.0
279,0,0.0,0.05
280,0,0.0,0.025
281,0,0.0,0.0
282,0,0.0,0.0
283,0,0.0,0.0
284,0,0.0,0.025
285,0,0.0,0.025
286,0,0.0,0.0
287,0,0.0,0.0
288,0,0.0,0.025
289,0,0.0,0.025
290,0,0.0,0.05
291,0,0.0,0.025
292,0,0.0,0.05
293,0,0.0,0.0
294,0,0.0,0.05
295,0,0.0,0.025
296,0,0.0,0.05
297,0,0.0,0.025
298,0,0.0,0.0
299,0,0.0,0.05
300,0,0.0,0.025
301,0,0.0,0.025
302,0,0.0,0.025
303,0,0.0,0.0
304,0,0.0,0.05
305,0,0.0,0.0
306,0,0.0,0.05
307,0,0.0,0.0
308,0,0.025,0.025
309,0,0.0,0.0
310,0,0.0,0.025
311,0,0.0,0.025
312,0,0.0,0.05
313,0,0.0,0.05
314,0,0.0,0.0
315,0,0.0,0.05
316,0,0.0,0.0
317,0,0.0,0.025
318,0,0.0,0.0
319,0,0.0,0.05
320,0,0.0,0.025
321,0,0.0,0.025
322,0,0.0,0.025
323,0,0.0,0.025
324,0,0.0,0.05
325,0,0.0,0.0
326,0,0.0,0.025
327,0,0.0,0.0
328,0,0.0,0.05
329,0,0.0,0.025
330,0,0.0,0.05
331,0,0.0,0.0
332,0,0.0,0.075
333,0,0.0,0.0
334,0,0.0,0.05
335,0,0.0,0.0
336,0,0.0,0.075
337,0,0.0,0.0
338,0,0.0,0.05
339,0,0.0,0.025
340,0,0.0,0.025
341,0,0.0,0.05
342,0,0.0,0.0
343,0,0.0,0.0
344,0,0.0,0.075
345,0,0.0,0.025
346,0,0.0,0.025
347,0,0.0,0.0
348,0,0.0,0.05
349,0,0.0,0.025
350,0,0.0,0.075
351,0,0.0,0.025
352,0,0.0,0.075
353,0,0.0,0.0
354,0,0.0,0.0
355,0,0.0,0.025
356,0,0.0,0.025
357,0,0.0,0.025
358,0,0.0,0.05
359,0,0.0,0.0
360,0,0.0,0.075
361,0,0.0,0.0
362,0,0.0,0.025
363,0,0.0,0.025
364,0,0.0,0.025
365,0,0.0,0.0
366,0,0.0,0.075
367,0,0.0,0.0
368,0,0.0,0.0
369,0,0.0,0.0
370,0,0.0,0.025
371,0,0.0,0.025
372,0,0.0,0.0
373,0,0.0,0.0
374,0,0.0,0.025
375,0,0.0,0.025
376,0,0.0,0.0
377,0,0.0,0.0
378,0,0.0,0.025
379,0,0.0,0.025
380,0,0.0,0.025
