step,vehicle_id,wait_time
3,t_15,0.0
4,t_15,0.0
5,t_15,0.0
6,t_15,0.0
7,t_15,0.0
8,t_15,0.0
9,t_15,4.0
10,t_15,9.0
11,t_15,14.0
12,t_15,19.0
13,t_15,24.0
14,t_15,29.0
15,t_15,34.0
16,t_15,39.0
17,t_15,44.0
18,t_15,49.0
19,t_15,54.0
20,t_15,59.0
21,t_15,64.0
22,t_15,69.0
23,t_15,74.0
24,t_15,79.0
25,t_15,84.0
26,t_15,89.0
27,t_15,94.0
28,t_15,99.0
29,t_15,104.0
30,t_15,109.0
31,t_15,114.0
32,t_15,119.0
33,t_15,124.0
34,t_15,129.0
35,t_15,134.0
36,t_15,139.0
37,t_15,144.0
38,t_15,149.0
39,t_15,154.0
40,t_15,159.0
41,t_15,164.0
42,t_15,169.0
43,t_15,174.0
44,t_15,179.0
45,t_15,184.0
46,t_15,189.0
47,t_15,194.0
48,t_15,199.0
49,t_15,204.0
50,t_15,209.0
51,t_15,214.0
52,t_15,219.0
53,t_15,224.0
54,t_15,229.0
55,t_15,234.0
56,t_15,239.0
57,t_15,244.0
58,t_15,249.0
59,t_15,254.0
60,t_15,259.0
61,t_15,264.0
62,t_15,269.0
63,t_15,274.0
64,t_15,279.0
65,t_15,284.0
66,t_15,289.0
67,t_15,294.0
68,t_15,299.0
69,t_15,304.0
70,t_15,309.0
71,t_15,314.0
72,t_15,319.0
73,t_15,324.0
74,t_15,329.0
75,t_15,334.0
76,t_15,339.0
77,t_15,344.0
78,t_15,349.0
79,t_15,354.0
80,t_15,359.0
81,t_15,364.0
82,t_15,369.0
83,t_15,374.0
84,t_15,379.0
85,t_15,384.0
86,t_15,389.0
87,t_15,394.0
88,t_15,399.0
89,t_15,404.0
90,t_15,409.0
91,t_15,414.0
92,t_15,419.0
93,t_15,424.0
94,t_15,429.0
95,t_15,434.0
96,t_15,439.0
97,t_15,444.0
98,t_15,449.0
99,t_15,454.0
100,t_15,459.0
101,t_15,464.0
102,t_15,469.0
103,t_15,474.0
104,t_15,479.0
105,t_15,484.0
106,t_15,489.0
107,t_15,494.0
108,t_15,499.0
109,t_15,504.0
110,t_15,509.0
111,t_15,514.0
112,t_15,519.0
113,t_15,524.0
114,t_15,529.0
115,t_15,534.0
116,t_15,539.0
117,t_15,544.0
118,t_15,549.0
119,t_15,554.0
120,t_15,559.0
121,t_15,564.0
122,t_15,569.0
123,t_15,574.0
124,t_15,579.0
125,t_15,584.0
126,t_15,589.0
127,t_15,594.0
128,t_15,599.0
129,t_15,604.0
130,t_15,609.0
131,t_15,614.0
132,t_15,619.0
133,t_15,624.0
134,t_15,629.0
135,t_15,634.0
136,t_15,639.0
137,t_15,644.0
138,t_15,649.0
139,t_15,654.0
140,t_15,659.0
141,t_15,664.0
142,t_15,669.0
143,t_15,674.0
144,t_15,679.0
145,t_15,684.0
146,t_15,689.0
147,t_15,694.0
148,t_15,699.0
149,t_15,704.0
150,t_15,709.0
151,t_15,714.0
152,t_15,719.0
153,t_15,724.0
154,t_15,729.0
155,t_15,734.0
156,t_15,739.0
157,t_15,744.0
158,t_15,749.0
159,t_15,754.0
160,t_15,759.0
161,t_15,764.0
162,t_15,769.0
163,t_15,774.0
164,t_15,779.0
165,t_15,784.0
166,t_15,789.0
167,t_15,794.0
168,t_15,799.0
169,t_15,804.0
170,t_15,809.0
171,t_15,814.0
172,t_15,819.0
173,t_15,824.0
174,t_15,829.0
175,t_15,834.0
176,t_15,839.0
177,t_15,844.0
178,t_15,849.0
179,t_15,854.0
180,t_15,859.0
181,t_15,864.0
182,t_15,869.0
183,t_15,874.0
184,t_15,879.0
185,t_15,884.0
186,t_15,889.0
187,t_15,894.0
188,t_15,899.0
189,t_15,904.0
190,t_15,909.0
191,t_15,914.0
192,t_15,919.0
193,t_15,924.0
194,t_15,929.0
195,t_15,934.0
196,t_15,939.0
197,t_15,944.0
198,t_15,949.0
199,t_15,954.0
200,t_15,959.0
201,t_15,964.0
202,t_15,969.0
203,t_15,974.0
204,t_15,979.0
205,t_15,984.0
206,t_15,989.0
207,t_15,994.0
208,t_15,999.0
209,t_15,1004.0
210,t_15,1009.0
211,t_15,1014.0
212,t_15,1019.0
213,t_15,1024.0
214,t_15,1029.0
215,t_15,1034.0
216,t_15,1039.0
217,t_15,1044.0
218,t_15,1049.0
219,t_15,1054.0
220,t_15,1059.0
221,t_15,1064.0
222,t_15,1069.0
223,t_15,1074.0
224,t_15,1079.0
225,t_15,1084.0
226,t_15,1089.0
227,t_15,1094.0
228,t_15,1099.0
229,t_15,1104.0
230,t_15,1109.0
231,t_15,1114.0
232,t_15,1119.0
233,t_15,1124.0
234,t_15,1129.0
235,t_15,1134.0
236,t_15,1139.0
237,t_15,1144.0
238,t_15,1149.0
239,t_15,1154.0
240,t_15,1159.0
241,t_15,1164.0
242,t_15,1169.0
243,t_15,1174.0
244,t_15,1179.0
245,t_15,1184.0
246,t_15,1189.0
247,t_15,1194.0
248,t_15,1199.0
249,t_15,1204.0
250,t_15,1209.0
251,t_15,1214.0
252,t_15,1219.0
253,t_15,1224.0
254,t_15,1229.0
255,t_15,1234.0
256,t_15,1239.0
257,t_15,1244.0
258,t_15,1249.0
259,t_15,1254.0
260,t_15,1259.0
261,t_15,1264.0
262,t_15,1269.0
263,t_15,1274.0
264,t_15,1279.0
265,t_15,1284.0
266,t_15,1289.0
267,t_15,1294.0
268,t_15,1299.0
269,t_15,1304.0
270,t_15,1309.0
271,t_15,1314.0
272,t_15,1319.0
273,t_15,1324.0
274,t_15,1329.0
275,t_15,1334.0
276,t_15,1339.0
277,t_15,1344.0
278,t_15,1349.0
279,t_15,1354.0
280,t_15,1359.0
281,t_15,1364.0
282,t_15,1369.0
283,t_15,1374.0
284,t_15,1379.0
285,t_15,1384.0
286,t_15,1389.0
287,t_15,1394.0
288,t_15,1399.0
289,t_15,1404.0
290,t_15,1409.0
291,t_15,1414.0
292,t_15,1419.0
293,t_15,1424.0
294,t_15,1429.0
295,t_15,1434.0
296,t_15,1439.0
297,t_15,1444.0
298,t_15,1449.0
299,t_15,1454.0
300,t_15,1459.0
301,t_15,1464.0
302,t_15,1469.0
303,t_15,1474.0
304,t_15,1479.0
305,t_15,1484.0
306,t_15,1489.0
307,t_15,1494.0
308,t_15,1499.0
309,t_15,1504.0
310,t_15,1509.0
311,t_15,1514.0
312,t_15,1519.0
313,t_15,1524.0
314,t_15,1529.0
315,t_15,1534.0
316,t_15,1539.0
317,t_15,1544.0
318,t_15,1549.0
319,t_15,1554.0
320,t_15,1559.0
321,t_15,1564.0
322,t_15,1569.0
323,t_15,1574.0
324,t_15,1579.0
325,t_15,1584.0
326,t_15,1589.0
327,t_15,1594.0
328,t_15,1599.0
329,t_15,1604.0
330,t_15,1609.0
331,t_15,1614.0
332,t_15,1619.0
333,t_15,1624.0
334,t_15,1629.0
335,t_15,1634.0
336,t_15,1639.0
337,t_15,1644.0
338,t_15,1649.0
339,t_15,1654.0
340,t_15,1659.0
341,t_15,1664.0
342,t_15,1669.0
343,t_15,1674.0
344,t_15,1679.0
345,t_15,1684.0
346,t_15,1689.0
347,t_15,1694.0
348,t_15,1699.0
349,t_15,1704.0
350,t_15,1709.0
351,t_15,1714.0
352,t_15,1719.0
353,t_15,1724.0
354,t_15,1729.0
355,t_15,1734.0
356,t_15,1739.0
357,t_15,1744.0
358,t_15,1749.0
359,t_15,1754.0
360,t_15,1759.0
361,t_15,1764.0
362,t_15,1769.0
363,t_15,1774.0
364,t_15,1779.0
365,t_15,1784.0
366,t_15,1789.0
367,t_15,1794.0
368,t_15,1799.0
369,t_15,1804.0
370,t_15,1809.0
371,t_15,1814.0
372,t_15,1819.0
373,t_15,1824.0
374,t_15,1829.0
375,t_15,1834.0
376,t_15,1839.0
377,t_15,1844.0
378,t_15,1849.0
379,t_15,1854.0
