step,vehicle_id,wait_time
3,t_15,0.0
4,t_15,0.0
5,t_15,0.0
6,t_15,0.0
7,t_15,0.0
8,t_15,0.0
9,t_15,0.0
10,t_15,5.0
11,t_15,0.0
12,t_15,1.0
13,t_15,0.0
14,t_15,5.0
15,t_15,0.0
16,t_15,0.0
17,t_15,0.0
18,t_15,0.0
19,t_15,2.0
20,t_15,7.0
21,t_15,12.0
22,t_15,17.0
23,t_15,0.0
24,t_15,0.0
25,t_15,0.0
26,t_15,0.0
27,t_15,4.0
28,t_15,9.0
29,t_15,14.0
30,t_15,0.0
31,t_15,0.0
32,t_15,0.0
33,t_15,0.0
34,t_15,0.0
35,t_15,0.0
36,t_15,0.0
37,t_15,0.0
38,t_15,0.0
39,t_15,0.0
40,t_15,0.0
41,t_15,0.0
42,t_15,0.0
