step,reward,waiting_time,queue_length
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.075
3,-0.07,0.0,0.0
4,-0.04999999999999999,0.175,0.1
5,0.09,0.075,0.025
6,-0.020000000000000004,0.0,0.025
7,-0.19,0.05,0.025
8,-0.12,0.525,0.125
9,0.03999999999999998,0.5,0.175
10,-0.02999999999999997,0.05,0.025
11,-0.15000000000000002,0.05,0.05
12,-0.06000000000000005,0.425,0.125
13,0.12000000000000005,0.425,0.125
14,-0.12000000000000005,0.15,0.05
15,-0.1499999999999999,0.125,0.075
16,-0.040000000000000036,0.4,0.1
17,0.16000000000000003,0.45,0.1
18,-0.09000000000000008,0.15,0.075
19,-0.12,0.05,0.05
20,-0.010000000000000009,0.325,0.15
21,0.20000000000000007,0.325,0.075
22,-0.07999999999999996,0.075,0.1
23,-0.16000000000000003,0.075,0.05
24,-0.030000000000000027,0.45,0.125
25,0.20999999999999996,0.5,0.1
26,-0.1499999999999999,0.175,0.1
27,-0.17000000000000004,0.175,0.075
28,-0.030000000000000027,0.4,0.1
29,0.20999999999999996,0.55,0.175
30,-0.16999999999999993,0.25,0.1
31,-0.13000000000000012,0.2,0.075
32,0.010000000000000009,0.325,0.075
33,0.2300000000000001,0.325,0.125
34,-0.13,0.225,0.075
35,-0.15999999999999992,0.1,0.1
36,0.0,0.375,0.1
37,0.2899999999999999,0.4,0.15
38,-0.10999999999999999,0.15,0.075
39,-0.15999999999999992,0.125,0.075
40,0.06999999999999984,0.45,0.1
41,0.31000000000000005,0.4,0.125
42,-0.14,0.15,0.1
43,-0.18000000000000005,0.15,0.125
44,0.020000000000000018,0.45,0.125
45,0.22000000000000008,0.45,0.125
46,-0.14,0.2,0.125
47,-0.15999999999999992,0.15,0.1
48,0.019999999999999796,0.4,0.15
49,0.28000000000000014,0.425,0.1
50,-0.10999999999999999,0.125,0.05
51,-0.16000000000000014,0.125,0.125
52,0.010000000000000009,0.4,0.1
53,0.29000000000000004,0.425,0.125
54,-0.04999999999999993,0.1,0.05
55,-0.16000000000000003,0.025,0.025
56,0.010000000000000009,0.425,0.175
57,0.29000000000000004,0.45,0.1
58,-0.15000000000000002,0.125,0.05
59,-0.17000000000000004,0.15,0.125
60,0.0,0.475,0.125
61,0.24,0.55,0.15
62,-0.1499999999999999,0.25,0.075
63,-0.14000000000000012,0.175,0.125
64,0.0,0.35,0.125
65,0.19000000000000006,0.4,0.125
66,-0.20000000000000007,0.4,0.125
67,-0.19999999999999996,0.25,0.1
68,-0.010000000000000009,0.525,0.1
69,0.26,0.5,0.125
70,-0.1399999999999999,0.2,0.075
71,-0.19999999999999996,0.175,0.1
72,0.029999999999999805,0.525,0.125
73,0.3500000000000001,0.55,0.125
74,-0.1399999999999999,0.175,0.1
75,-0.18000000000000016,0.125,0.05
76,0.06000000000000005,0.45,0.125
77,0.32000000000000006,0.475,0.125
78,-0.16000000000000014,0.2,0.1
79,-0.18999999999999995,0.175,0.1
80,0.050000000000000044,0.525,0.125
81,0.31999999999999995,0.525,0.125
82,-0.18000000000000005,0.225,0.1
83,-0.17999999999999994,0.25,0.075
84,0.010000000000000009,0.5,0.125
85,0.30000000000000004,0.525,0.125
86,-0.17999999999999994,0.225,0.075
87,-0.19000000000000017,0.225,0.1
88,-0.020000000000000018,0.5,0.125
89,0.33000000000000007,0.575,0.175
90,-0.1499999999999999,0.225,0.075
91,-0.18999999999999995,0.3,0.1
92,0.019999999999999796,0.45,0.125
93,0.29000000000000004,0.475,0.125
94,-0.16999999999999993,0.275,0.125
95,-0.17999999999999994,0.2,0.075
96,0.07999999999999985,0.45,0.15
97,0.3400000000000001,0.425,0.1
98,-0.1399999999999999,0.15,0.075
99,-0.18000000000000016,0.15,0.1
100,0.07000000000000006,0.5,0.125
101,0.31000000000000005,0.425,0.175
102,-0.15000000000000013,0.2,0.05
103,-0.1499999999999999,0.175,0.1
104,0.07000000000000006,0.4,0.125
105,0.2899999999999999,0.425,0.125
106,-0.16000000000000003,0.2,0.075
107,-0.19999999999999996,0.15,0.1
108,0.020000000000000018,0.475,0.125
109,0.2899999999999999,0.5,0.15
110,-0.13,0.2,0.1
111,-0.15999999999999992,0.2,0.1
112,-0.020000000000000018,0.45,0.1
113,0.25,0.5,0.15
114,-0.1399999999999999,0.275,0.075
115,-0.15000000000000013,0.175,0.125
116,0.07000000000000006,0.425,0.1
117,0.2899999999999999,0.4,0.1
118,-0.15000000000000002,0.2,0.1
119,-0.17999999999999994,0.2,0.1
120,0.040000000000000036,0.55,0.125
121,0.22999999999999998,0.525,0.175
122,-0.18999999999999995,0.3,0.125
123,-0.19000000000000017,0.3,0.1
124,0.040000000000000036,0.45,0.15
125,0.31000000000000005,0.475,0.15
126,-0.1299999999999999,0.175,0.1
127,-0.16000000000000014,0.125,0.075
128,0.050000000000000044,0.45,0.125
129,0.29000000000000004,0.475,0.15
130,-0.16999999999999993,0.175,0.125
131,-0.17000000000000015,0.275,0.1
132,0.050000000000000044,0.375,0.125
133,0.31999999999999995,0.375,0.1
134,-0.06999999999999995,0.075,0.075
135,-0.15999999999999992,0.05,0.05
136,0.04999999999999982,0.425,0.125
137,0.3500000000000001,0.425,0.15
138,-0.15000000000000002,0.15,0.1
139,-0.17000000000000004,0.15,0.1
140,0.050000000000000044,0.475,0.125
141,0.28,0.375,0.1
142,-0.08999999999999997,0.125,0.1
143,-0.16000000000000003,0.075,0.05
144,0.030000000000000027,0.4,0.125
145,0.18999999999999995,0.425,0.175
146,-0.15999999999999992,0.25,0.1
147,-0.17000000000000015,0.15,0.125
148,-0.05999999999999983,0.375,0.125
149,0.21999999999999997,0.55,0.15
150,-0.13000000000000012,0.2,0.1
151,-0.19999999999999996,0.125,0.125
152,-0.040000000000000036,0.525,0.125
